x [m],y [m],z [m],distance [m],max distance [m]
-890.477,4248541.576,5.115371,269.551501,
-890.034,4248541.380,5.113721,270.036302,
-889.590,4248541.183,5.113549,270.521100,
-889.147,4248540.987,5.113427,271.005897,
-888.704,4248540.790,5.111839,271.490698,
-888.261,4248540.594,5.108915,271.975504,
-887.818,4248540.397,5.105412,272.460315,
-887.375,4248540.201,5.102063,272.945124,
-886.931,4248540.004,5.098761,273.429933,
-886.488,4248539.807,5.095406,273.914742,
-886.045,4248539.611,5.092043,274.399552,
-885.602,4248539.414,5.088775,274.884360,
-885.159,4248539.217,5.085408,275.369170,
-884.716,4248539.021,5.081751,275.853981,
-884.273,4248538.824,5.079269,276.338785,
-883.830,4248538.627,5.077766,276.823585,
-883.387,4248538.430,5.074634,277.308393,
-882.944,4248538.233,5.071531,277.793201,
-882.501,4248538.037,5.070004,278.278001,
-882.057,4248537.840,5.068287,278.762802,
-881.614,4248537.643,5.066878,279.247602,
-881.171,4248537.447,5.066856,279.732399,
-880.728,4248537.250,5.067284,280.217197,
-880.285,4248537.053,5.066935,280.701995,
-879.842,4248536.857,5.065259,281.186796,
-879.398,4248536.661,5.063694,281.671596,
-878.955,4248536.464,5.061884,282.156397,
-878.512,4248536.268,5.058442,282.641207,
-878.068,4248536.072,5.055805,283.126012,
-877.625,4248535.876,5.054322,283.610812,
-877.181,4248535.681,5.051366,284.095618,
-876.738,4248535.485,5.047698,284.580430,
-876.294,4248535.289,5.044403,285.065239,
-875.851,4248535.094,5.041190,285.550047,
-875.407,4248534.899,5.037660,286.034858,
-874.963,4248534.704,5.034181,286.519668,
-874.519,4248534.509,5.032283,287.004470,
-874.075,4248534.314,5.030413,287.489271,
-873.631,4248534.120,5.026904,287.974081,
-873.187,4248533.926,5.024412,288.458885,
-872.742,4248533.732,5.022982,288.943685,
-872.298,4248533.538,5.021107,289.428487,
-871.853,4248533.345,5.020360,289.913285,
-871.409,4248533.151,5.020506,290.398083,
-870.964,4248532.958,5.019343,290.882882,
-870.519,4248532.766,5.016615,291.367687,
-870.074,4248532.573,5.013172,291.852497,
-869.629,4248532.381,5.010105,292.337304,
-869.184,4248532.189,5.006041,292.822119,
-868.739,4248531.998,5.000831,293.306945,
-868.293,4248531.807,4.997239,293.791756,
-867.847,4248531.616,4.993655,294.276567,
-867.402,4248531.425,4.988444,294.761393,
-866.956,4248531.235,4.984386,295.246207,
-866.510,4248531.045,4.981298,295.731015,
-866.063,4248530.856,4.977807,296.215825,
-865.617,4248530.666,4.975296,296.700629,
-865.171,4248530.478,4.973926,297.185429,
-864.724,4248530.289,4.972501,297.670229,
-864.277,4248530.101,4.969961,298.155033,
